expenseName,expenseCategory
daily netflix expense,Entertainment
monthly salary subscription,Salary
extra book purchase fee,Education
quick subway purchase,Food
extra gaming,Entertainment
late night water bill payment,Bills
python course fee,Education
extra hotstar recharge,Entertainment
late night react course recharge,Education
extra random payment premium,Others
daily cake,Food
urgent cake premium,Food
insta spotify premium recharge,Entertainment
urgent trip food bill,Travel
late night python course purchase,Education
monthly local train order,Transport
bag order,Shopping
quick music subscription recharge,Entertainment
quick book purchase,Education
daily unexpected expense purchase,Others
extra notes xerox,Education
daily milk fee,Groceries
urgent internet recharge subscription,Bills
extra electricity bill fee,Bills
daily instamart fee,Groceries
online house rent order,Rent
extra eggs order,Groceries
bus ticket payment,Transport
extra salt premium,Groceries
monthly dinner bill,Food
quick pubg uc payment,Entertainment
urgent instamart premium,Groceries
quick protein powder payment,Health
extra eye test recharge,Health
jio recharge fee,Bills
daily salt subscription,Groceries
online freelance payment fee,Salary
late night kfc subscription,Food
daily etf purchase subscription,Investment
urgent salary income,Salary
online vitamin tablets recharge,Health
monthly exam fee expense,Education
online gaming premium,Entertainment
urgent bike service recharge,Transport
late night gift wrap order,Gifts
quick train pass premium,Transport
late night bike petrol fee,Transport
extra cab fare,Transport
festival expense bill,Others
urgent room rent recharge,Rent
urgent broadband bill expense,Bills
quick family gift premium,Gifts
daily swiggy order fee,Food
online festival expense expense,Others
anniversary gift payment,Gifts
monthly sugar payment,Groceries
insta netflix expense,Entertainment
extra holiday booking premium,Travel
quick kfc order,Food
late night crypto investment payment,Investment
daily nail cutter payment,Personal Care
insta book purchase purchase,Education
insta face wash,Personal Care
extra snacks bill,Food
insta dth recharge premium,Bills
urgent salon expense purchase,Personal Care
quick gas bill purchase,Bills
extra airtel recharge subscription,Bills
extra salary income subscription,Salary
insta random payment subscription,Others
extra vitamin tablets purchase,Health
bonus amount order,Salary
daily fruits purchase,Groceries
late night electricity bill bill,Bills
insta mouse recharge,Shopping
daily fine amount payment,Others
urgent gift wrap,Gifts
urgent resort booking,Travel
extra eye test recharge,Health
quick charger premium,Shopping
monthly internship stipend bill,Salary
online unknown expense recharge,Others
quick apartment rent bill,Rent
extra makeup kit order,Personal Care
daily ml course premium,Education
online sugar expense,Groceries
extra family gift,Gifts
daily cash received purchase,Others
insta atta payment,Groceries
monthly swiggy order bill,Food
daily juice subscription,Food
extra resort booking payment,Travel
monthly chicken recharge,Groceries
urgent parking fee,Transport
online kfc subscription,Food
festival expense order,Others
insta wifi bill purchase,Bills
monthly dominos,Food
urgent taxi fare payment,Transport
late night petrol premium,Transport
daily bike petrol,Transport
monthly fruits payment,Groceries
monthly mouse purchase,Shopping
extra dmart bill,Groceries
quick tour package expense,Travel
insta salt subscription,Groceries
insta amazon order bill,Shopping
free fire diamonds payment,Entertainment
late night spotify premium order,Entertainment
cash given premium,Others
quick body spray,Personal Care
daily airtel recharge expense,Bills
juice subscription,Food
extra book purchase purchase,Education
urgent eggs subscription,Groceries
insta postpaid bill order,Bills
extra house rent recharge,Rent
quick bike service subscription,Transport
online soap expense,Personal Care
quick medical shop premium,Health
extra repair work subscription,Others
insta etf purchase expense,Investment
online family gift purchase,Gifts
insta chicken rice expense,Food
quick pg rent premium,Rent
daily ice cream purchase,Food
urgent bigbasket fee,Groceries
daily gift purchase bill,Gifts
insta airtel recharge purchase,Bills
daily dress premium,Shopping
monthly service charge bill,Others
urgent body spray bill,Personal Care
late night pizza recharge,Food
late night notes xerox expense,Education
insta coffee,Food
daily etf purchase premium,Investment
late night eb bill recharge,Bills
monthly jeans premium,Shopping
extra skin care premium,Personal Care
online mobile recharge purchase,Bills
daily eggs recharge,Groceries
late night zepto expense,Groceries
insta gift wrap order,Gifts
quick ola cab order,Transport
insta helmet purchase,Shopping
extra wifi bill purchase,Bills
tshirt bill,Shopping
daily anniversary gift fee,Gifts
late night festival expense premium,Others
extra skin care subscription,Personal Care
quick keyboard fee,Shopping
daily hospital bill,Health
fruits subscription,Groceries
cab fare expense,Transport
extra cake payment,Food
urgent steam games purchase,Entertainment
monthly karaoke premium,Entertainment
extra birthday gift bill,Gifts
quick gift wrap purchase,Gifts
quick gift purchase fee,Gifts
insta hotel booking fee,Travel
urgent flat rent recharge,Rent
late night mobile recharge recharge,Bills
quick certification fee bill,Education
urgent keyboard fee,Shopping
daily keyboard order,Shopping
monthly react course order,Education
urgent steam games order,Entertainment
