elapsedDay,daysInMonth,progressRatio,spentSoFar,forecastableSpentSoFar,recurringCommittedTotal,recurringSpentSoFar,recurringPending,mtdTransactionCount,dailyTransactionFrequency,dailySpendVelocity,trailing3MonthAverage,trailing6MonthMedian,historicalTheilSenSlope,residualMad,topCategoryShare,categoryEntropy,cat_Food,cat_Transport,cat_Shopping,cat_Bills,cat_Entertainment,cat_Groceries,cat_Health,cat_Education,cat_Travel,cat_Rent,cat_Investment,cat_Salary,cat_Personal Care,cat_Gifts,cat_Others,remainingSpend
1,30,0.0333,12567.19,12567.19,25393.11,12567.19,12825.92,2,2.0,12567.19,35691.63,34691.77,235.9601,1075.89,0.8284,0.4585,0.0,0.0,0.0,0.0,0.0,0.1716,0.0,0.0,0.0,0.8284,0.0,0.0,0.0,0.0,0.0,20861.93
3,30,0.1,12717.11,12717.11,25393.11,12567.19,12825.92,3,1.0,4239.04,35691.63,34691.77,235.9601,1075.89,0.8186,0.5171,0.0,0.0,0.0118,0.0,0.0,0.1696,0.0,0.0,0.0,0.8186,0.0,0.0,0.0,0.0,0.0,20712.01
5,30,0.1667,19231.75,19231.75,25393.11,17798.19,7594.92,6,1.2,3846.35,35691.63,34691.77,235.9601,1075.89,0.5413,1.1858,0.0,0.015,0.0078,0.272,0.0,0.1122,0.0,0.0,0.0,0.5413,0.0,0.0,0.0,0.0,0.0518,14197.37
8,30,0.2667,21450.57,21450.57,25393.11,20017.01,5376.1,7,0.875,2681.32,35691.63,34691.77,235.9601,1075.89,0.4853,1.2543,0.0,0.0134,0.007,0.2439,0.0,0.204,0.0,0.0,0.0,0.4853,0.0,0.0,0.0,0.0,0.0464,11978.55
12,30,0.4,22479.02,22479.02,25393.11,20017.01,5376.1,8,0.6667,1873.25,35691.63,34691.77,235.9601,1075.89,0.4631,1.3628,0.0,0.0128,0.0524,0.2327,0.0,0.1947,0.0,0.0,0.0,0.4631,0.0,0.0,0.0,0.0,0.0443,10950.1
15,30,0.5,26714.62,26714.62,25393.11,22900.35,2492.76,11,0.7333,1780.97,35691.63,34691.77,235.9601,1075.89,0.3897,1.4408,0.0,0.0108,0.0441,0.1958,0.0,0.2717,0.0,0.0,0.0,0.3897,0.0,0.0,0.0,0.0,0.0879,6714.5
18,30,0.6,26910.71,26910.71,25393.11,22900.35,2492.76,12,0.6667,1495.04,35691.63,34691.77,235.9601,1075.89,0.3868,1.4478,0.0,0.0107,0.0438,0.1944,0.0,0.2697,0.0,0.0,0.0,0.3868,0.0,0.0,0.0,0.0,0.0945,6518.41
22,30,0.7333,29450.84,29450.84,25393.11,22900.35,2492.76,15,0.6818,1338.67,35691.63,34691.77,235.9601,1075.89,0.3535,1.6041,0.0392,0.0098,0.055,0.1776,0.0,0.2465,0.0,0.0,0.0,0.3535,0.0,0.0,0.0,0.0,0.1185,3978.28
25,30,0.8333,32931.69,32931.69,25393.11,25393.11,0,17,0.68,1317.27,35691.63,34691.77,235.9601,1075.89,0.3161,1.6218,0.065,0.0087,0.0492,0.1588,0.0,0.2961,0.0,0.0,0.0,0.3161,0.0,0.0,0.0,0.0,0.106,497.43
28,30,0.9333,32931.69,32931.69,25393.11,25393.11,0,17,0.6071,1176.13,35691.63,34691.77,235.9601,1075.89,0.3161,1.6218,0.065,0.0087,0.0492,0.1588,0.0,0.2961,0.0,0.0,0.0,0.3161,0.0,0.0,0.0,0.0,0.106,497.43
1,30,0.0333,13167.41,13167.41,26399.43,13104.1,13295.33,3,3.0,13167.41,34979.81,33886.95,216.8598,1084.24,0.7906,0.5361,0.0,0.0,0.0,0.0,0.0,0.2046,0.0,0.0,0.0,0.7906,0.0,0.0,0.0,0.0,0.0048,20302.12
3,30,0.1,13458.75,13458.75,26399.43,13104.1,13295.33,4,1.3333,4486.25,34979.81,33886.95,216.8598,1084.24,0.7735,0.6288,0.0,0.0,0.0216,0.0,0.0,0.2002,0.0,0.0,0.0,0.7735,0.0,0.0,0.0,0.0,0.0047,20010.78
