expenseName,expenseCategory
Mobile Recharge,Bills
Pending Fee,Education
Exam fee,Education
Movie ticket,Entertainment
Movie,Entertainment
Bread omelette,Food
Cavins,Food
Cavins,Food
Bread omelette,Food
Snacks Instamart,Food
Cavins - Masala,Food
Cavins + Chips,Food
Slice,Food
Cavins,Food
Juice,Food
Cavins * 2,Food
Cavins,Food
Juice,Food
Tea + Biscuit,Food
Slice,Food
Fresh juice,Food
Snacks,Food
Milkshake,Food
Tea + Snacks,Food
Instamart,Food
Break fast,Food
Juice,Food
Cavins,Food
Bread omelette,Food
Cavins,Food
Chicken Rice,Food
Snacks,Food
Juice,Food
Cavins tin,Food
Amirthanjan,Health
Amirthanjan,Health
Bank penalty,Others
Karmugil,Others
Snr gift,Others
Cake share,Others
Cake share,Others
Laptop stand,Others
Keyboard,Others
Pen,Others
Cycle Cover,Others
Cycle Service,Others
Toiletries,Personal Care
Ear buds,Personal Care
Hair cut,Personal Care
Metro,Transport
Rapido,Transport
Bus Ticket,Travel
Train Ticket,Travel
Bus,Travel
Rapido - Hostel to Bus Stand,Transport
Bus Ticket - Mepz to Arcot,Travel
Train Ticket - Central to Katpadi,Travel
Hostel to Timiri,Travel
Coursera,Education
Exam Fee,Education
Course Subscription,Education
