expenseName,expenseCategory
Lunch,Food
prime video,Entertainment
coursera pay,Education
Yoga class,Health
club entry,Entertainment
Face wash,Personal Care
charity done,Other
paid spa,Personal Care
Cinema,Entertainment
PETROL,Transport
FACE WASH,Personal Care
pen/paper,Education
Pharmacy,Health
upi yoga class,Health
VEG RICE,Food
SUPERMARKET,Groceries
mobile,Shopping
Pharmacy,Health
payment amazon order,Shopping
GYM MEMBERSHIP,Health
charity,Other
Chicken rice,Food
cosmetics,Personal Care
grooming,Personal Care
COLLEGE FEE,Education
youtube premium,Entertainment
MOMOS,Food
spent flipkart order,Shopping
DAL,Groceries
paytm gift 1762,Other
Toothpaste,Groceries
pen/paper,Education
ola pay,Transport
PAROTTA,Food
Rapido,Transport
CLUB ENTRY,Entertainment
stationery,Shopping
upi moisturizer,Personal Care
biryani,Food
gpay guided tour,Travel
Interest payment,Other
exam fee,Education
INTERNET BILL,Bills
Travel insurance,Travel
coke,Food
resort,Travel
CERTIFICATION,Education
phonepe salon,Personal Care
COKE,Food
MOBILE,Shopping
Kitchenware,Shopping
CHECKUP,Health
ATM WITHDRAWAL,Other
Stationery,Shopping
Electronics,Shopping
Face wash,Personal Care
HOME DECOR,Shopping
supplements,Health
Face wash,Personal Care
BURGER,Food
Resort,Travel
gpay milkshake 327,Food
gpay online course,Education
paytm ev charging 1146,Transport
GUIDED TOUR,Travel
Clothes,Shopping
CHARITY,Other
RAPIDO,Transport
Bakery items,Food
VACATION,Travel
Spa,Personal Care
Resort,Travel
wifi bill,Bills
Homestay,Travel
gaming currency,Entertainment
DENTAL CARE,Health
juice txn,Food
Toll,Transport
spent clothes,Shopping
shoes,Shopping
guided tour done,Travel
parking,Transport
txn kitchenware,Shopping
paytm masala,Groceries
shaving kit rs 936,Personal Care
FACE WASH,Personal Care
RESORT,Travel
Youtube premium,Entertainment
Gaming currency,Entertainment
electricity bill,Bills
DAL,Groceries
MOBILE RECHARGE,Bills
theme park done,Entertainment
paytm bus ticket 851,Transport
Flight ticket,Travel
biryani txn,Food
maintenance fee,Bills
HAIRCUT,Personal Care
paytm souvenirs,Travel
shaving kit,Personal Care
BOOKS,Education
RICE,Groceries
first aid rs 939,Health
internet bill,Bills
FRIED RICE,Food
gpay book purchase 342,Entertainment
Insurance premium,Bills
upi shampoo,Groceries
MAINTENANCE FEE,Bills
Myntra,Shopping
Medicine,Health
HEADPHONES,Shopping
auto fare txn,Transport
COOKING OIL,Groceries
MEDICINE,Health
upi rice,Groceries
Books,Education
SKINCARE,Personal Care
Concert,Entertainment
PRIME VIDEO,Entertainment
bread rs 1493,Groceries
Trip,Travel
scan txn,Health
HOMESTAY,Travel
Bike service,Transport
salon rs 998,Personal Care
WATER BILL,Bills
HOTEL BOOKING,Travel
Misc expense,Other
paytm guided tour,Travel
Dal,Groceries
maintenance fee,Bills
toothpaste,Groceries
Cosmetics,Personal Care
parking,Transport
grocery items,Groceries
maintenance fee,Bills
Fried rice,Food
upi tuition 1029,Education
payment shaving kit,Personal Care
Books,Education
stationery rs 2979,Shopping
LAPTOP,Shopping
MEDICINE,Health
Stationery,Shopping
RESORT,Travel
gpay bread,Groceries
Theme park,Entertainment
Gaming currency,Entertainment
Bank charges,Other
