expenseName,expenseCategory
Uber ride,travel
Flipkart order,shopping
Home loan EMI,emi
Netflix subscription,entertainment
Hospital bill,healthcare
Ola cab,travel
Netflix subscription,entertainment
Crypto investment,investment
PPF contribution,investment
Amazon purchase,shopping
Credit card EMI,emi
Flipkart order,shopping
Electricity bill payment,utilities
Hospital bill,healthcare
Mobile recharge,utilities
Pizza delivery,food
Netflix subscription,entertainment
Hotel booking,travel
Mobile recharge,utilities
Uber ride,travel
Fixed deposit investment,investment
Mutual fund SIP,investment
Electronics shopping,shopping
Water bill,utilities
Water bill,utilities
Amazon purchase,shopping
Bike loan EMI,emi
Stock purchase,investment
Pharmacy medicine purchase,healthcare
Movie ticket booking,entertainment
Electricity bill payment,utilities
Lunch at hotel,food
Pharmacy medicine purchase,healthcare
Crypto investment,investment
Water bill,utilities
Library fee,education
Online course subscription,education
Car loan EMI,emi
Concert ticket,entertainment
Medical test charges,healthcare
Stock purchase,investment
College fees payment,education
Lunch at hotel,food
Car loan EMI,emi
Hospital bill,healthcare
Medical test charges,healthcare
Online shopping payment,shopping
Bus ticket,travel
Clothing store bill,shopping
Electronics shopping,shopping
College fees payment,education
Online shopping payment,shopping
Bike loan EMI,emi
Online shopping payment,shopping
Stock purchase,investment
Bike loan EMI,emi
Food court payment,food
College fees payment,education
Gas bill payment,utilities
Zomato dinner,food
Uber ride,travel
College fees payment,education
Movie ticket booking,entertainment
Online course subscription,education
Game purchase,entertainment
Movie ticket booking,entertainment
Electronics shopping,shopping
Internet recharge,utilities
College fees payment,education
Mutual fund SIP,investment
Food court payment,food
Crypto investment,investment
Swiggy order,food
Zomato dinner,food
Lunch at hotel,food
Hotel booking,travel
Electronics shopping,shopping
Movie ticket booking,entertainment
Online course subscription,education
Doctor consultation,healthcare
Bus ticket,travel
Internet recharge,utilities
College fees payment,education
Uber ride,travel
Electricity bill payment,utilities
Stock purchase,investment
Online course subscription,education
Personal loan installment,emi
Mutual fund SIP,investment
Netflix subscription,entertainment
Netflix subscription,entertainment
Stock purchase,investment
Library fee,education
Hospital bill,healthcare
Hospital bill,healthcare
Electronics shopping,shopping
Medical test charges,healthcare
Fixed deposit investment,investment
Food court payment,food
Netflix subscription,entertainment
Electricity bill payment,utilities
Online course subscription,education
Netflix subscription,entertainment
Hotel booking,travel
PPF contribution,investment
Crypto investment,investment
Food court payment,food
Pharmacy medicine purchase,healthcare
Fixed deposit investment,investment
Electronics shopping,shopping
Electronics shopping,shopping
Uber ride,travel
Uber ride,travel
Crypto investment,investment
Personal loan installment,emi
Fixed deposit investment,investment
Credit card EMI,emi
Online shopping payment,shopping
Netflix subscription,entertainment
Concert ticket,entertainment
Ola cab,travel
Uber ride,travel
Movie ticket booking,entertainment
Online shopping payment,shopping
Water bill,utilities
Online shopping payment,shopping
Amazon purchase,shopping
Pharmacy medicine purchase,healthcare
Restaurant bill,food
Flipkart order,shopping
Library fee,education
Swiggy order,food
Bike loan EMI,emi
Mobile recharge,utilities
Credit card EMI,emi
Restaurant bill,food
Restaurant bill,food
Mutual fund SIP,investment
Game purchase,entertainment
Car loan EMI,emi
Credit card EMI,emi
Personal loan installment,emi
Fixed deposit investment,investment
Train ticket IRCTC,travel
Online course subscription,education
Exam fee,education
Stock purchase,investment
PPF contribution,investment
Amazon purchase,shopping
Mobile recharge,utilities
Concert ticket,entertainment
Flight ticket booking,travel
Amazon purchase,shopping
Pharmacy medicine purchase,healthcare
Internet recharge,utilities
Netflix subscription,entertainment
Fixed deposit investment,investment
Hospital bill,healthcare
Movie ticket booking,entertainment
Hospital bill,healthcare
Mobile recharge,utilities
Bus ticket,travel
Concert ticket,entertainment
Pharmacy medicine purchase,healthcare
Online shopping payment,shopping
PPF contribution,investment
Doctor consultation,healthcare
Electronics shopping,shopping
Restaurant bill,food
PPF contribution,investment
Internet recharge,utilities
Online course subscription,education
Online course subscription,education
Flight ticket booking,travel
Electricity bill payment,utilities
