expenseName,expenseCategory
Mobile Recharge,Bills
Pending Fee,Education
Exam fee,Education
Movie ticket,Entertainment
Movie,Entertainment
Bread omelette,Food
Cavins,Food
Cavins,Food
Bread omelette,Food
Snacks Instamart,Food
Cavins - Masala,Food
Cavins + Chips,Food
Slice,Food
Cavins,Food
Juice,Food
Cavins * 2,Food
Cavins,Food
Juice,Food
Tea + Biscuit,Food
Slice,Food
Fresh juice,Food
Snacks,Food
Milkshake,Food
Tea + Snacks,Food
Instamart,Food
Break fast,Food
Juice,Food
Cavins,Food
Bread omelette,Food
Cavins,Food
Chicken Rice,Food
Snacks,Food
Juice,Food
Cavins tin,Food
Amirthanjan,Health
Amirthanjan,Health
Bank penalty,Others
Karmugil,Others
Snr gift,Others
Cake share,Others
Cake share,Others
Laptop stand,Others
Keyboard,Others
Pen,Others
Cycle Cover,Others
Cycle Service,Others
Toiletries,Personal Care
Ear buds,Personal Care
Hair cut,Personal Care
Metro,Transport
Rapido,Transport
Bus Ticket,Travel
Train Ticket,Travel
Bus,Travel
Rapido - Hostel to Bus Stand,Transport
Bus Ticket - Mepz to Arcot,Travel
Train Ticket - Central to Katpadi,Travel
Hostel to Timiri,Travel
Coursera,Education
Exam Fee,Education
Course Subscription,Education
daily netflix expense,Entertainment
monthly salary subscription,Salary
extra book purchase fee,Education
quick subway purchase,Food
extra gaming,Entertainment
late night water bill payment,Bills
python course fee,Education
extra hotstar recharge,Entertainment
late night react course recharge,Education
extra random payment premium,Others
daily cake,Food
urgent cake premium,Food
insta spotify premium recharge,Entertainment
urgent trip food bill,Travel
late night python course purchase,Education
monthly local train order,Transport
bag order,Shopping
quick music subscription recharge,Entertainment
quick book purchase,Education
daily unexpected expense purchase,Others
extra notes xerox,Education
daily milk fee,Groceries
urgent internet recharge subscription,Bills
extra electricity bill fee,Bills
daily instamart fee,Groceries
online house rent order,Rent
extra eggs order,Groceries
bus ticket payment,Transport
extra salt premium,Groceries
monthly dinner bill,Food
quick pubg uc payment,Entertainment
urgent instamart premium,Groceries
quick protein powder payment,Health
extra eye test recharge,Health
jio recharge fee,Bills
daily salt subscription,Groceries
online freelance payment fee,Salary
late night kfc subscription,Food
daily etf purchase subscription,Investment
urgent salary income,Salary
online vitamin tablets recharge,Health
monthly exam fee expense,Education
online gaming premium,Entertainment
urgent bike service recharge,Transport
late night gift wrap order,Gifts
quick train pass premium,Transport
late night bike petrol fee,Transport
extra cab fare,Transport
festival expense bill,Others
urgent room rent recharge,Rent
urgent broadband bill expense,Bills
quick family gift premium,Gifts
daily swiggy order fee,Food
online festival expense expense,Others
anniversary gift payment,Gifts
monthly sugar payment,Groceries
insta netflix expense,Entertainment
extra holiday booking premium,Travel
quick kfc order,Food
late night crypto investment payment,Investment
daily nail cutter payment,Personal Care
insta book purchase purchase,Education
insta face wash,Personal Care
extra snacks bill,Food
insta dth recharge premium,Bills
urgent salon expense purchase,Personal Care
quick gas bill purchase,Bills
extra airtel recharge subscription,Bills
extra salary income subscription,Salary
insta random payment subscription,Others
extra vitamin tablets purchase,Health
bonus amount order,Salary
daily fruits purchase,Groceries
late night electricity bill bill,Bills
insta mouse recharge,Shopping
daily fine amount payment,Others
urgent gift wrap,Gifts
urgent resort booking,Travel
extra eye test recharge,Health
quick charger premium,Shopping
monthly internship stipend bill,Salary
online unknown expense recharge,Others
quick apartment rent bill,Rent
extra makeup kit order,Personal Care
daily ml course premium,Education
online sugar expense,Groceries
extra family gift,Gifts
daily cash received purchase,Others
insta atta payment,Groceries
monthly swiggy order bill,Food
daily juice subscription,Food
